Result output by cplex
Solution status	Optimal
Solution value	2.1523e+006
Solution time	6.50524
EpGap	0.001
UpCost	2727
FuelCostsum	2.14845e+006
OutputProfile	1123.19
OutputRCost	0
OutputRNCost	0
allFuelCost	2.14845e+006
