Result output by cplex
Solution status	Optimal
Solution value	3.40364e+006
Solution time	3.47882
EpGap	0.001
UpCost	709
FuelCostsum	3.39832e+006
OutputProfile	4612.06
OutputRCost	0
OutputRNCost	0
allFuelCost	3.39833e+006
