Result output by cplex
Solution status	Optimal
Solution value	3.39073e+006
Solution time	3.16682
EpGap	0.001
UpCost	709
FuelCostsum	3.38859e+006
OutputProfile	1431.31
OutputRCost	0
OutputRNCost	0
allFuelCost	3.38859e+006
