Result
Solution status	Optimal
Solution value	1.26744e+006
Solution time	49.8423
EpGap	0.001
allFuelCost	1.26279e+006
state
0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	
0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	
0	1	0	0	1	1	1	0	1	0	0	0	1	0	0	0	
0	1	1	0	1	1	1	1	1	0	0	0	1	0	0	0	
0	1	1	0	1	1	1	1	1	0	0	0	1	0	0	0	
0	1	1	0	1	1	1	1	1	0	0	0	1	0	0	1	
0	1	1	0	1	1	1	1	1	0	0	0	1	0	0	1	
0	1	1	0	1	1	1	1	1	0	0	0	1	0	0	1	
0	1	1	0	1	1	1	1	1	0	0	0	1	0	0	0	
0	1	1	0	1	1	1	1	1	0	0	0	1	0	0	0	
0	1	1	0	1	1	1	1	1	0	0	0	1	0	0	0	
0	1	1	0	1	1	1	1	1	0	0	0	1	0	0	0	
0	1	1	0	1	1	1	1	1	0	0	0	1	0	0	0	
0	1	1	0	1	1	1	1	1	0	1	0	1	0	0	0	
0	1	1	0	1	1	1	1	1	0	0	0	1	0	0	0	
0	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	
0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	
0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	
0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	

thermalPower
0	0	0	0	1302	1200	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	1201.53	1239.47	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	1200	997	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	1173.33	901.665	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	1201.53	1300.47	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	1466.47	1201.53	0	0	300	0	0	0	450	0	0	0	
