Result output by cplex
Solution status	Optimal
Solution value	3.38648e+006
Solution time	3.08882
EpGap	0.001
UpCost	1741
FuelCostsum	3.31651e+006
OutputProfile	68237
OutputRCost	0
OutputRNCost	0
allFuelCost	3.31651e+006
