Result output by cplex
Solution status	Optimal
Solution value	3.17751e+006
Solution time	3.35402
EpGap	0.001
UpCost	2237
FuelCostsum	3.17448e+006
OutputProfile	792.409
OutputRCost	0
OutputRNCost	0
allFuelCost	3.17448e+006
